Mess_Datum,Qualitaets_Niveau,BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE,WINDGESCHWINDIGKEIT,LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM,WINDSPITZE_MAXIMUM,NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER,SCHNEEHOEHE
19000801,5,0.0,50.0,3.9,3.6,715.3,-999.0,-999,-3.6,6.2,-999.0,-999,-999.0,15.0,5
19000802,5,5.0,88.0,8.3,5.2,713.7,-999.0,-999,2.2,12.6,-999.0,-999,-999.0,6.2,-999
19000803,5,8.0,96.0,7.9,3.7,710.6,-999.0,-999,1.2,7.9,-999.0,-999,-999.0,1.3,-999
19000804,5,8.0,98.0,6.3,-0.3,706.3,-999.0,-999,-2.8,5.2,-999.0,-999,-999.0,0.0,-999
19000805,5,8.0,95.0,4.4,-4.0,705.9,-999.0,-999,-5.4,-0.9,-999.0,-999,-999.0,0.0,10
19000806,5,5.3,95.0,5.5,-1.0,707.8,-999.0,-999,-5.3,0.7,-999.0,-999,-999.0,3.4,10
19000807,5,3.0,81.0,6.7,4.1,712.3,-999.0,-999,-1.0,6.0,-999.0,-999,-999.0,10.3,5
19000808,5,7.7,94.0,5.6,-0.8,710.6,-999.0,-999,-2.6,4.0,-999.0,-999,-999.0,0.0,-999
19000809,5,4.7,96.0,6.5,1.4,712.3,-999.0,-999,-2.7,4.6,-999.0,-999,-999.0,5.4,15
19000810,5,7.3,94.0,6.5,0.6,712.2,-999.0,-999,-2.0,6.0,-999.0,-999,-999.0,1.4,-999
19000811,5,8.0,94.0,4.4,-3.9,713.4,-999.0,-999,-5.2,-2.0,-999.0,-999,-999.0,0.0,10
19000812,5,5.3,85.0,4.0,-3.4,716.5,-999.0,-999,-6.8,-1.9,-999.0,-999,-999.0,4.4,15
19000813,5,3.3,67.0,3.9,-0.8,718.3,-999.0,-999,-5.9,1.6,-999.0,-999,-999.0,10.4,15
19000814,5,5.7,85.0,5.6,0.9,717.4,-999.0,-999,-1.7,2.6,-999.0,-999,-999.0,5.0,-999
19000815,5,8.0,98.0,5.9,-0.4,712.6,-999.0,-999,-1.8,0.6,-999.0,-999,-999.0,0.0,15
19000816,5,5.0,93.0,6.9,2.6,713.0,-999.0,-999,-1.2,4.7,-999.0,-999,-999.0,2.2,10
19000817,5,5.7,90.0,7.9,4.7,713.5,-999.0,-999,-0.3,8.6,-999.0,-999,-999.0,5.3,-999
19000818,5,7.0,95.0,8.0,4.3,715.1,-999.0,-999,1.7,8.8,-999.0,-999,-999.0,1.4,-999
19000819,5,6.3,83.0,7.1,4.4,715.5,-999.0,-999,1.7,8.4,-999.0,-999,-999.0,3.3,-999
19000820,5,5.3,86.0,7.1,3.6,712.6,-999.0,-999,1.3,8.5,-999.0,-999,-999.0,5.3,-999
19000821,5,5.7,88.0,7.6,4.6,710.5,-999.0,-999,0.0,7.5,-999.0,-999,-999.0,5.3,-999
19000822,5,7.0,97.0,8.1,4.4,710.9,-999.0,-999,-0.1,7.2,-999.0,-999,-999.0,2.0,-999
19000823,5,6.3,90.0,8.1,5.4,712.6,-999.0,-999,1.3,8.5,-999.0,-999,-999.0,3.3,-999
19000824,5,7.7,91.0,8.1,5.0,711.1,-999.0,-999,2.4,9.5,-999.0,-999,-999.0,0.4,-999
19000825,5,5.0,99.0,7.2,2.3,711.7,-999.0,-999,0.4,5.2,-999.0,-999,-999.0,3.0,-999
19000826,5,3.0,61.0,5.2,4.9,713.5,-999.0,-999,-0.4,6.5,-999.0,-999,-999.0,6.4,-999
19000827,5,6.3,92.0,7.6,4.1,712.2,-999.0,-999,2.9,7.4,-999.0,-999,-999.0,0.2,-999
19000828,5,7.7,94.0,6.3,0.8,713.3,-999.0,-999,-0.6,6.7,-999.0,-999,-999.0,0.0,-999
19000829,5,7.7,92.0,5.3,-1.1,714.9,-999.0,-999,-2.0,0.4,-999.0,-999,-999.0,0.2,5
19000830,5,0.7,50.0,3.1,0.4,716.7,-999.0,-999,-3.8,0.9,-999.0,-999,-999.0,10.3,5
19000831,5,1.7,43.0,2.8,0.3,716.9,-999.0,-999,-1.8,1.8,-999.0,-999,-999.0,10.0,3
19000901,5,3.3,35.0,2.7,2.5,716.2,-999.0,-999,-1.6,7.4,-999.0,-999,-999.0,6.4,-999
19000902,5,8.0,100.0,7.7,2.8,714.2,-999.0,-999,-2.2,4.4,-999.0,-999,-999.0,0.0,-999
19000903,5,5.3,92.0,4.9,-3.0,714.3,-999.0,-999,-5.4,2.6,-999.0,-999,-999.0,0.0,-999
19000904,5,2.0,38.0,2.5,0.1,717.5,-999.0,-999,-7.8,3.7,-999.0,-999,-999.0,12.0,4
19000905,5,3.7,80.0,4.9,-0.4,716.6,-999.0,-999,-2.6,3.6,-999.0,-999,-999.0,4.4,-999
19000906,5,1.7,48.0,2.9,-0.2,715.3,-999.0,-999,-2.3,0.4,-999.0,-999,-999.0,12.0,-999
19000907,5,0.3,22.0,1.7,2.5,715.8,-999.0,-999,-1.3,6.6,-999.0,-999,-999.0,12.3,-999
19000908,5,5.7,74.0,5.6,2.5,712.9,-999.0,-999,-0.6,7.1,-999.0,-999,-999.0,6.2,-999
