Mess_Datum,Qualitaets_Niveau,BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE,WINDGESCHWINDIGKEIT,LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM,WINDSPITZE_MAXIMUM,NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER,SCHNEEHOEHE
19970701,10,5.7,81.0,13.6,14.3,1006.7,-999.0,11.1,12.6,18.8,12.8,6,4.4,8.2,0
19970702,10,4.7,77.0,14.8,16.8,1009.3,-999.0,9.6,10.2,22.0,-999.0,6,0.2,9.1,0
19970703,10,2.7,72.0,13.0,15.6,1013.1,-999.0,11.5,13.0,20.8,-999.0,0,0.0,11.7,0
19970704,10,5.3,83.0,14.7,15.3,1017.6,-999.0,8.0,11.3,20.6,-999.0,6,0.1,11.0,0
19970705,10,4.3,77.0,13.9,15.4,1021.6,-999.0,7.5,9.2,19.9,-999.0,0,0.0,11.2,0
19970706,10,6.0,77.0,13.7,15.5,1024.6,-999.0,10.7,12.9,17.9,-999.0,6,0.0,5.9,0
19970707,10,6.7,85.0,16.1,16.2,1024.6,-999.0,12.6,14.0,20.1,-999.0,6,0.0,6.7,0
19970708,10,7.3,86.0,15.0,15.1,1024.1,-999.0,14.3,14.4,17.0,-999.0,6,0.0,0.2,0
19970709,10,5.0,81.0,14.4,15.3,1020.4,-999.0,11.0,12.4,18.6,-999.0,0,0.0,6.8,0
19970710,10,1.3,73.0,15.3,17.6,1016.7,3.2,8.4,10.6,24.5,8.5,0,0.0,13.8,0
19970711,10,2.3,66.0,14.9,19.3,1015.3,2.8,8.1,10.8,25.2,8.2,0,0.0,15.0,0
19970712,10,2.0,67.0,15.6,19.4,1015.8,2.5,11.1,13.0,26.7,9.9,0,0.0,15.1,0
19970713,10,4.3,70.0,16.9,20.6,1015.8,2.1,10.7,11.9,27.6,8.4,6,0.6,9.7,0
19970714,10,5.7,74.0,17.5,20.0,1017.3,3.3,15.3,16.0,25.4,9.5,0,0.0,8.6,0
19970715,10,2.0,77.0,15.5,17.1,1019.5,3.2,12.2,14.5,21.7,10.9,6,1.1,10.7,0
19970716,10,7.7,89.0,17.3,16.8,1015.2,3.3,11.1,13.2,21.2,9.9,6,10.4,0.2,0
19970717,10,7.3,89.0,17.0,16.5,1009.7,2.8,12.7,14.4,18.5,7.4,6,15.1,0.2,0
19970718,10,5.0,89.0,17.4,17.0,1011.8,3.9,13.5,14.9,19.9,11.9,6,1.4,4.2,0
19970719,10,4.7,77.0,15.3,16.6,1021.5,4.9,11.1,12.8,21.8,13.6,6,3.1,11.1,0
19970720,10,7.0,67.0,14.9,19.2,1021.4,4.4,11.8,13.5,23.1,11.6,6,0.0,9.1,0
19970721,10,8.0,89.0,18.7,18.1,1019.1,3.8,14.7,16.2,19.5,8.5,6,1.2,0.0,0
