Mess_Datum,Qualitaets_Niveau,BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE,WINDGESCHWINDIGKEIT,LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM,WINDSPITZE_MAXIMUM,NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER,SCHNEEHOEHE
18760101,5,7.7,88.0,5.3,-0.2,1010.6,-999.0,-999.0,-1.0,2.0,-999.0,1,1.8,-999.0,-999
18760102,5,8.0,96.0,7.2,2.8,1009.2,-999.0,-999.0,-1.5,3.2,-999.0,1,20.6,-999.0,-999
18760103,5,8.0,95.0,8.8,6.0,1005.6,-999.0,-999.0,3.0,8.0,-999.0,1,7.6,-999.0,-999
18760104,5,5.3,91.0,5.3,-1.9,1011.4,-999.0,-999.0,-6.0,8.0,-999.0,1,1.0,-999.0,-999
18760105,5,0.3,82.0,3.2,-6.2,1016.2,-999.0,-999.0,-9.0,-3.0,-999.0,1,1.0,-999.0,-999
18760106,5,8.0,84.0,3.1,-6.6,1011.9,-999.0,-999.0,-9.0,-5.4,-999.0,0,0.0,-999.0,-999
18760107,5,2.7,85.0,2.3,-10.3,1006.4,-999.0,-999.0,-15.5,-5.0,-999.0,0,0.0,-999.0,-999
18760108,5,4.7,79.0,3.1,-5.5,1003.8,-999.0,-999.0,-10.1,-1.2,-999.0,0,0.0,-999.0,-999
18760109,5,0.0,78.0,3.1,-6.0,999.1,-999.0,-999.0,-8.0,-2.5,-999.0,0,0.0,-999.0,-999
18760110,5,0.0,90.0,2.5,-10.4,1006.7,-999.0,-999.0,-13.0,-4.0,-999.0,0,0.0,-999.0,-999
18760111,5,3.3,93.0,2.4,-10.8,1009.1,-999.0,-999.0,-17.0,-5.5,-999.0,0,0.0,-999.0,-999
18760112,5,8.0,90.0,3.6,-5.5,1007.9,-999.0,-999.0,-12.5,-4.6,-999.0,0,0.0,-999.0,-999
18760113,5,8.0,80.0,4.4,-1.2,1001.6,-999.0,-999.0,-6.0,0.8,-999.0,1,4.0,-999.0,-999
18760114,5,8.0,81.0,4.9,-0.6,1006.0,-999.0,-999.0,-2.0,1.0,-999.0,1,0.2,-999.0,-999
18760115,5,5.0,87.0,4.0,-4.2,1017.9,-999.0,-999.0,-6.0,1.0,-999.0,0,0.0,-999.0,-999
18760116,5,8.0,90.0,3.3,-6.6,1019.2,-999.0,-999.0,-10.0,-3.0,-999.0,1,2.6,-999.0,-999
18760117,5,8.0,92.0,4.0,-4.4,1015.6,-999.0,-999.0,-8.0,-3.0,-999.0,0,0.0,-999.0,-999
18760118,5,8.0,92.0,6.0,1.1,1010.2,-999.0,-999.0,-4.0,2.0,-999.0,1,3.2,-999.0,-999
18760119,5,8.0,93.0,7.1,3.1,1014.8,-999.0,-999.0,1.0,4.0,-999.0,0,0.0,-999.0,-999
18760120,5,2.3,89.0,5.7,0.6,1007.6,-999.0,-999.0,-2.5,5.0,-999.0,0,0.0,-999.0,-999
18760121,5,8.0,89.0,7.1,4.1,1001.1,-999.0,-999.0,-2.5,6.0,-999.0,1,9.3,-999.0,-999
18760122,5,8.0,87.0,7.1,4.0,1008.3,-999.0,-999.0,1.5,7.0,-999.0,1,0.4,-999.0,-999
18760123,5,1.0,83.0,5.7,1.2,1022.6,-999.0,-999.0,-2.0,6.0,-999.0,0,0.0,-999.0,-999
18760124,5,0.3,91.0,5.2,-1.2,1025.1,-999.0,-999.0,-5.0,3.0,-999.0,0,0.0,-999.0,-999
18760125,5,8.0,96.0,5.1,-2.0,1022.3,-999.0,-999.0,-5.0,0.0,-999.0,0,0.0,-999.0,-999
18760126,5,3.7,91.0,4.5,-2.8,1021.9,-999.0,-999.0,-4.5,-0.5,-999.0,0,0.0,-999.0,-999
18760127,5,5.3,93.0,4.7,-2.6,1019.1,-999.0,-999.0,-6.5,1.0,-999.0,0,0.0,-999.0,-999
