Mess_Datum,Qualitaets_Niveau,BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE,WINDGESCHWINDIGKEIT,LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM,WINDSPITZE_MAXIMUM,NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER,SCHNEEHOEHE
19981101,10,6.0,88.0,7.8,4.6,942.4,8.2,6.5,2.6,10.0,23.7,8,0.2,-999.0,0
19981102,10,7.0,87.0,7.4,4.9,946.4,4.2,-0.4,0.9,6.9,-999.0,6,5.0,-999.0,0
19981103,10,6.0,81.0,7.9,6.5,939.0,7.8,4.8,5.3,8.5,-999.0,6,0.1,-999.0,0
19981104,10,6.3,92.0,7.4,3.5,943.1,6.5,3.3,2.4,6.3,-999.0,8,1.1,-999.0,0
19981105,10,4.7,83.0,6.0,2.7,957.8,6.1,-0.3,0.6,4.1,-999.0,8,0.0,-999.0,0
19981106,10,7.3,93.0,8.2,5.1,964.3,5.9,2.2,3.0,6.8,-999.0,6,0.2,-999.0,0
19981107,10,8.0,98.0,6.9,2.0,969.2,2.6,-1.8,-1.0,4.8,-999.0,0,0.0,-999.0,0
19981108,10,7.7,90.0,8.0,5.5,963.6,4.4,-1.8,0.8,8.5,-999.0,6,5.3,-999.0,0
19981109,10,8.0,98.0,12.4,10.4,959.7,5.5,6.2,6.5,11.4,-999.0,6,4.5,-999.0,0
19981110,10,7.3,94.0,9.9,6.7,956.2,5.2,7.5,4.0,10.6,-999.0,6,1.9,-999.0,0
19981111,10,1.0,90.0,6.8,2.8,963.1,4.0,0.9,1.3,5.6,-999.0,0,0.0,-999.0,0
19981112,10,7.7,98.0,6.2,0.5,952.9,3.7,-3.1,-1.4,2.1,-999.0,6,0.3,-999.0,0
19981113,10,8.0,95.0,7.7,3.9,949.5,4.1,0.4,0.6,5.6,-999.0,6,0.0,0.4,0
19981114,10,7.7,98.0,6.9,1.8,940.5,4.6,-0.8,0.2,4.0,-999.0,8,7.9,0.5,0
19981115,10,8.0,98.0,7.2,2.4,951.6,4.0,0.4,1.0,3.4,-999.0,8,3.6,0.0,0
19981116,10,8.0,98.0,6.5,0.6,960.1,4.0,0.1,-0.6,2.8,-999.0,8,4.3,0.0,0
19981117,10,7.3,89.0,5.0,-1.5,967.7,3.0,-1.3,-2.4,0.2,-999.0,7,0.1,0.4,0
19981118,10,3.3,96.0,5.3,-1.7,965.5,3.0,-6.1,-3.6,-0.2,-999.0,7,2.6,2.5,0
19981119,10,7.3,99.0,5.3,-2.1,964.6,3.2,-3.2,-2.7,-0.4,-999.0,7,0.2,0.1,3
19981120,10,2.0,91.0,4.0,-4.4,973.6,3.1,-10.3,-7.1,-1.9,-999.0,0,0.0,5.8,2
19981121,10,0.3,76.0,3.0,-5.8,975.0,2.8,-13.7,-7.5,-0.8,-999.0,0,0.0,8.3,2
19981122,10,1.0,85.0,2.8,-8.4,966.1,5.8,-10.7,-9.6,-6.0,-999.0,0,0.0,7.7,2
19981123,10,4.7,89.0,3.6,-5.3,961.5,2.4,-11.7,-10.6,-2.0,-999.0,0,0.0,4.8,2
19981124,10,8.0,92.0,4.4,-3.2,961.6,2.0,-4.3,-4.5,-2.1,-999.0,7,0.0,0.0,2
19981125,10,7.0,93.0,4.3,-3.8,957.0,2.7,-5.9,-5.3,-2.4,-999.0,0,0.0,0.3,2
19981126,10,5.7,85.0,4.9,-0.5,959.0,4.2,-8.7,-4.3,1.8,-999.0,8,3.6,2.0,2
19981127,10,7.3,98.0,7.0,2.2,958.0,4.3,-0.2,-0.1,2.6,-999.0,8,1.0,0.1,4
19981128,10,6.0,98.0,5.9,-0.5,958.7,3.4,-1.6,-2.3,2.3,-999.0,7,0.1,4.3,0
19981129,10,8.0,98.0,5.3,-1.7,954.3,3.7,-1.6,-1.9,-0.8,-999.0,8,4.0,0.0,1
19981130,10,8.0,97.0,5.2,-1.9,964.1,4.3,-2.2,-2.5,-1.6,-999.0,8,0.0,0.0,5
19981201,10,7.7,94.0,4.4,-4.0,969.7,5.2,-3.1,-4.9,-1.1,-999.0,0,0.0,0.0,5
19981202,10,8.0,93.0,3.8,-5.2,965.6,5.1,-6.9,-7.0,-4.3,-999.0,7,0.0,0.0,5
19981203,10,7.7,97.0,4.5,-3.6,957.9,3.3,-6.2,-5.1,-3.2,-999.0,0,0.0,0.0,5
19981204,10,8.0,99.0,4.8,-2.7,947.0,3.8,-3.6,-4.0,-1.7,-999.0,8,2.3,0.0,5
19981205,10,7.7,96.0,5.2,-1.8,948.1,6.1,-1.3,-2.2,-1.2,-999.0,7,2.4,0.0,10
19981206,10,6.3,95.0,4.9,-2.4,957.3,5.9,-2.9,-3.7,-1.2,-999.0,7,3.7,0.0,16
19981207,10,7.7,98.0,5.4,-1.6,965.7,4.4,-2.8,-3.4,-0.5,-999.0,7,1.3,0.0,21
19981208,10,7.7,98.0,4.6,-4.2,969.2,2.6,-4.0,-6.4,-1.9,-999.0,7,0.8,0.9,22
19981209,10,8.0,98.0,5.0,-2.5,965.0,3.7,-7.0,-5.8,-1.6,-999.0,8,2.1,0.0,24
19981210,10,8.0,99.0,5.3,-1.9,960.0,2.8,-2.5,-2.7,-0.9,-999.0,8,0.7,0.0,22
19981211,10,8.0,99.0,6.1,0.6,958.2,3.5,-2.3,-2.4,2.1,-999.0,6,0.1,0.0,20
19981212,10,8.0,99.0,8.7,5.8,960.6,5.7,0.9,2.0,7.8,-999.0,6,4.6,0.0,18
19981213,10,7.0,82.0,7.7,5.9,967.7,8.3,6.4,4.9,11.3,22.0,6,0.0,0.3,0
19981214,10,8.0,95.0,9.2,6.6,970.1,5.8,4.5,4.7,7.5,-999.0,6,0.3,0.0,0
19981215,10,8.0,99.0,9.1,5.7,967.9,4.3,6.0,3.7,7.4,-999.0,6,0.5,0.0,0
19981216,10,5.7,95.0,7.8,3.8,973.2,4.4,1.2,2.6,6.3,-999.0,0,0.0,3.5,0
19981217,10,3.7,79.0,5.5,2.0,967.7,3.6,-3.9,-1.8,5.8,-999.0,0,0.0,6.2,0
19981218,10,7.7,98.0,7.6,3.6,960.2,5.8,-2.0,0.6,7.9,-999.0,6,3.5,0.0,0
19981219,10,5.3,92.0,7.1,2.9,952.2,7.5,3.0,1.7,6.1,-999.0,8,4.4,0.4,0
19981220,10,7.3,97.0,6.2,0.3,950.0,3.7,0.8,-1.2,2.6,-999.0,8,0.7,0.1,0
19981221,10,7.3,96.0,5.2,-1.6,960.2,3.7,-3.5,-2.2,-0.1,-999.0,7,0.1,2.8,1
19981222,10,7.7,94.0,5.4,-0.8,965.2,2.6,-2.3,-1.8,-0.2,-999.0,8,0.2,0.0,0
19981223,10,7.3,94.0,5.6,-0.8,962.2,0.4,-0.9,-1.9,1.2,-999.0,7,0.0,3.1,0
19981224,10,7.7,93.0,5.4,-0.8,961.3,0.3,-2.8,-2.3,0.0,-999.0,7,0.1,0.0,0
19981225,10,8.0,97.0,6.6,1.8,963.5,2.5,-2.6,-1.1,3.2,17.0,6,0.2,0.0,0
19981226,10,7.7,97.0,8.5,5.3,956.7,6.5,2.6,3.0,6.0,21.0,6,2.2,0.5,0
19981227,10,7.3,80.0,8.2,7.8,949.6,8.5,5.0,5.8,9.2,-999.0,6,1.1,0.0,0
19981228,10,7.7,89.0,8.2,5.1,953.6,4.0,5.8,3.0,9.1,-999.0,6,2.0,2.9,0
19981229,10,8.0,98.0,6.8,1.8,957.1,1.4,-0.3,-0.5,3.1,-999.0,0,0.0,0.0,0
19981230,10,3.0,98.0,6.3,0.5,955.2,0.0,-0.9,-0.6,4.7,-999.0,0,0.0,3.6,0
19981231,10,6.0,98.0,5.4,-1.5,952.6,0.0,-1.6,-2.2,0.0,-999.0,0,0.0,0.0,0
19990101,10,5.3,99.0,5.3,-1.7,953.8,-999.0,-3.5,-3.0,-0.4,-999.0,0,0.0,0.0,0
19990102,10,5.3,93.0,7.0,3.2,948.9,2.5,-4.0,-3.0,7.0,13.0,6,1.9,0.9,0
19990103,10,7.3,93.0,7.2,3.4,947.2,8.3,0.9,1.8,6.1,20.0,6,4.4,0.3,0
19990104,10,8.0,98.0,10.8,8.8,955.3,-999.0,3.0,3.5,10.4,-999.0,6,0.6,0.0,0
19990105,10,5.3,85.0,11.3,10.9,959.7,5.3,9.2,9.4,13.2,-999.0,0,0.0,0.7,0
19990106,10,3.7,74.0,8.2,8.6,957.4,2.3,0.3,4.8,13.2,-999.0,0,0.0,7.8,0
19990107,10,7.7,92.0,8.2,4.8,950.1,4.5,4.5,3.2,8.7,-999.0,6,8.2,0.0,0
19990108,10,7.0,88.0,6.8,3.2,944.3,6.8,2.7,2.1,4.3,15.0,8,0.5,1.9,0
19990109,10,8.0,97.0,6.0,-0.2,946.5,3.3,1.6,-1.3,2.8,-999.0,8,4.7,0.0,0
19990110,10,8.0,97.0,5.4,-1.4,950.2,2.3,-2.0,-2.2,-0.6,-999.0,7,0.1,0.0,0
19990111,10,8.0,97.0,4.5,-3.8,947.2,5.9,-2.9,-4.1,-1.4,-999.0,7,0.2,0.0,0
19990112,10,7.7,85.0,3.9,-3.9,951.3,6.5,-7.0,-5.7,-2.5,15.0,7,0.7,0.4,0
19990113,10,7.7,96.0,5.8,0.0,947.4,7.0,-4.6,-4.7,0.6,15.0,8,1.2,0.1,3
19990114,10,6.0,93.0,6.7,2.2,949.0,7.4,-0.1,0.3,3.0,17.0,8,1.5,0.5,2
19990115,10,7.3,90.0,7.2,3.9,953.0,9.1,0.5,1.6,4.8,19.0,6,0.2,0.0,0
19990116,10,7.0,66.0,6.4,7.0,948.2,10.3,2.6,3.2,8.7,22.0,6,0.3,0.7,0
19990117,10,7.3,91.0,8.0,4.6,953.6,4.3,3.8,3.6,7.6,-999.0,6,1.3,0.0,0
19990118,10,6.0,95.0,7.6,3.4,963.1,0.6,0.5,1.9,6.9,-999.0,0,0.0,2.5,0
19990119,10,5.0,67.0,5.1,3.5,962.3,2.3,-3.2,-0.9,6.9,-999.0,0,0.0,8.2,0
19990120,10,2.7,88.0,6.7,2.8,961.9,0.4,-2.0,-0.6,9.4,-999.0,0,0.0,6.6,0
19990121,10,6.3,89.0,7.3,4.2,963.1,0.0,-3.9,-0.3,7.4,-999.0,6,0.0,2.3,0
19990122,10,5.3,92.0,7.1,2.6,964.2,0.2,-1.9,0.7,6.1,-999.0,0,0.0,2.9,0
19990123,10,3.3,90.0,6.4,2.1,961.7,0.6,-3.3,-1.7,6.8,-999.0,0,0.0,7.8,0
19990124,10,7.7,98.0,7.5,3.5,962.7,4.1,-2.0,-0.5,5.1,-999.0,6,0.7,0.0,0
19990125,10,8.0,97.0,10.0,7.6,958.7,6.5,4.7,5.1,8.4,-999.0,6,14.1,0.0,0
19990126,10,7.3,93.0,6.7,2.3,952.1,4.7,1.6,1.5,8.7,17.0,8,3.4,0.7,0
19990127,10,7.3,93.0,6.2,1.1,946.7,7.8,-0.1,0.1,3.0,18.0,8,5.2,0.2,1
19990128,10,8.0,98.0,6.7,1.6,946.5,5.0,-0.1,0.1,2.9,13.0,8,9.2,0.0,1
19990129,10,4.0,89.0,4.1,-4.4,966.2,2.4,-3.3,-6.4,1.5,-999.0,7,0.1,2.7,1
19990130,10,3.3,91.0,3.8,-5.2,975.3,0.7,-12.4,-8.4,-3.2,-999.0,7,0.1,4.6,1
19990131,10,6.7,80.0,3.6,-3.6,976.3,1.1,-7.1,-5.9,-3.0,-999.0,8,0.6,5.0,0
19990201,10,8.0,98.0,5.6,-0.6,973.0,0.4,-4.2,-3.1,0.5,-999.0,6,1.1,0.0,2
19990202,10,8.0,98.0,6.8,1.8,974.6,1.0,0.0,0.2,2.3,-999.0,6,0.2,0.0,1
19990203,10,7.7,98.0,7.2,2.7,973.1,3.5,0.5,0.6,3.7,-999.0,6,0.7,0.0,0
19990204,10,8.0,99.0,8.7,5.2,963.8,7.9,2.9,3.0,5.8,18.0,6,7.1,0.0,0
19990205,10,6.7,92.0,6.0,0.7,951.8,7.4,2.0,-0.5,6.2,19.0,8,3.9,0.0,0
19990206,10,7.0,97.0,5.9,-0.2,948.6,6.2,-2.0,-1.2,0.5,18.0,8,5.6,0.5,3
19990207,10,6.0,92.0,5.2,-1.6,940.0,7.1,-1.2,-3.1,1.7,17.0,7,4.7,2.5,2
19990208,10,6.7,87.0,4.3,-2.8,943.3,5.5,-4.3,-4.2,-1.8,14.0,7,0.3,1.5,7
19990209,10,6.0,96.0,4.2,-4.6,940.3,0.0,-7.0,-5.6,-2.0,-999.0,7,0.4,2.6,7
19990210,10,6.7,92.0,4.3,-3.8,946.6,0.6,-8.2,-6.9,-1.9,-999.0,7,3.4,1.3,8
19990211,10,6.0,89.0,4.0,-4.4,957.1,0.6,-6.8,-5.4,-2.5,-999.0,7,0.4,4.0,15
19990212,10,1.7,77.0,2.8,-7.0,966.4,0.4,-15.4,-9.8,-3.4,-999.0,0,0.0,9.0,15
19990213,10,7.3,87.0,3.1,-6.6,970.8,2.3,-17.9,-11.9,-4.5,-999.0,7,0.0,2.5,15
19990214,10,4.3,81.0,3.7,-3.7,967.3,0.4,-12.0,-7.5,-1.5,-999.0,7,0.2,8.3,15
19990215,10,7.7,93.0,4.8,-2.1,961.7,2.4,-8.5,-4.3,-0.8,-999.0,8,0.1,0.1,15
19990216,10,6.0,91.0,6.0,0.8,950.9,7.5,-1.9,-1.9,2.6,18.0,8,1.1,1.7,14
19990217,10,7.3,80.0,4.5,-1.4,949.9,7.8,-1.3,-3.3,1.0,-999.0,7,5.9,0.7,11
19990218,10,8.0,99.0,6.1,0.4,956.0,0.8,-3.4,-2.7,1.7,-999.0,8,1.5,0.1,18
19990219,10,8.0,99.0,9.1,6.2,955.1,7.0,0.9,1.5,7.3,15.0,6,6.3,0.0,7
19990220,10,7.3,93.0,8.0,3.9,955.1,3.4,6.6,0.0,7.7,-999.0,6,4.9,0.0,0
19990221,10,8.0,94.0,7.1,3.0,944.7,6.5,0.7,1.6,5.2,18.0,8,7.7,0.0,0
19990222,10,7.0,98.0,5.4,-1.4,939.5,6.6,-1.5,-2.0,3.3,-999.0,7,7.3,0.2,1
19990223,10,7.0,94.0,5.5,-0.5,948.0,6.7,-1.7,-1.8,0.8,-999.0,7,1.6,1.0,15
19990224,10,6.0,96.0,5.3,-1.6,950.8,0.4,-3.2,-2.6,-0.1,-999.0,7,0.4,1.1,16
19990225,10,4.0,81.0,4.6,-0.5,959.7,0.5,-13.7,-4.4,2.0,-999.0,0,0.0,9.5,16
19990226,10,6.0,65.0,5.1,3.8,957.3,3.8,-1.0,0.1,6.7,-999.0,0,0.0,7.9,12
19990227,10,7.3,84.0,6.7,3.9,954.0,1.8,-3.5,0.3,5.8,-999.0,6,0.4,2.0,6
19990228,10,4.3,82.0,6.5,3.5,962.1,4.3,0.7,1.7,6.2,14.0,0,0.0,5.5,0
19990301,10,7.7,93.0,8.8,6.4,954.9,-999.0,1.5,2.9,8.0,-999.0,6,9.7,0.0,0
19990302,10,8.0,98.0,11.0,8.7,950.7,-999.0,7.4,7.7,9.3,-999.0,6,4.0,0.0,0
19990303,10,7.3,88.0,8.5,6.0,938.6,-999.0,6.7,4.5,9.4,-999.0,6,2.5,1.9,0
19990304,10,7.3,90.0,7.1,3.5,933.2,-999.0,2.3,2.6,5.1,-999.0,6,0.0,0.0,0
19990305,10,7.3,92.0,6.7,2.0,934.6,-999.0,1.1,0.7,4.6,-999.0,8,1.5,0.4,0
19990306,10,5.3,88.0,5.7,0.6,941.4,-999.0,-0.5,-0.4,3.4,-999.0,8,0.4,2.1,0
19990307,10,7.3,89.0,5.5,0.3,945.4,-999.0,-2.9,-1.9,2.0,-999.0,7,0.3,0.3,0
19990308,10,7.3,88.0,5.9,0.9,945.8,-999.0,-0.4,-0.2,4.4,-999.0,8,1.0,1.4,0
19990309,10,7.7,98.0,8.0,4.1,945.9,-999.0,-0.1,-0.2,5.0,-999.0,6,1.8,0.0,0
19990310,10,5.7,98.0,7.3,2.5,952.2,-999.0,1.9,1.8,4.4,-999.0,6,2.6,0.0,0
19990311,10,6.0,86.0,5.9,1.9,957.2,-999.0,-5.4,-4.6,6.0,-999.0,0,0.0,6.3,0
19990312,10,4.7,85.0,8.1,6.6,955.1,-999.0,-0.8,-0.1,11.2,-999.0,0,0.0,10.1,0
19990313,10,4.7,69.0,8.5,11.0,958.1,-999.0,0.7,4.2,17.5,-999.0,6,0.0,8.0,0
19990314,10,4.7,89.0,9.7,7.6,964.0,-999.0,4.5,5.5,12.0,-999.0,6,0.0,2.1,0
19990315,10,5.0,71.0,6.7,6.2,968.1,-999.0,-0.1,3.2,10.8,-999.0,0,0.0,9.7,0
19990316,10,5.3,76.0,6.2,4.4,968.7,-999.0,-2.6,1.1,9.3,-999.0,0,0.0,11.0,0
19990317,10,3.0,69.0,4.9,2.6,968.0,-999.0,-2.1,-1.3,7.8,-999.0,0,0.0,10.0,0
19990318,10,4.7,69.0,5.5,4.3,961.2,-999.0,-4.5,-1.3,8.5,-999.0,6,2.4,9.1,0
19990319,10,7.3,82.0,6.1,2.9,961.9,-999.0,1.9,1.6,5.9,-999.0,8,0.5,2.0,0
19990320,10,7.0,75.0,5.5,2.9,963.9,-999.0,-1.8,-0.3,5.8,-999.0,8,0.4,1.4,0
19990321,10,8.0,86.0,6.6,3.1,949.8,-999.0,2.0,2.3,5.6,-999.0,6,4.5,0.0,0
