Mess_Datum,Qualitaets_Niveau,BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE,WINDGESCHWINDIGKEIT,LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM,WINDSPITZE_MAXIMUM,NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER,SCHNEEHOEHE
19480101,5,8.0,86.0,6.5,3.4,1005.8,-999.0,-0.2,0.3,4.7,-999.0,8,4.9,0.0,0
19480102,5,7.7,87.0,10.7,10.2,1002.8,-999.0,3.3,4.2,11.2,-999.0,1,6.7,0.0,0
19480103,5,8.0,93.0,12.5,11.5,1005.4,-999.0,9.8,10.5,12.2,-999.0,1,0.3,0.0,0
19480104,5,4.7,79.0,9.1,8.3,1000.2,-999.0,3.3,5.7,12.9,-999.0,0,0.0,5.6,0
19480105,5,6.7,63.0,8.4,10.3,989.0,-999.0,1.7,2.4,13.8,-999.0,1,1.9,0.9,0
19480106,5,5.0,69.0,5.3,3.9,992.2,-999.0,-0.2,1.4,10.7,-999.0,1,3.9,4.6,0
19480107,5,6.0,79.0,10.8,11.5,973.6,-999.0,2.7,3.2,12.2,-999.0,1,2.5,0.0,0
19480108,5,6.7,75.0,6.7,5.0,985.8,-999.0,2.7,3.3,11.6,-999.0,1,1.0,1.7,0
19480109,5,4.7,70.0,5.5,3.2,995.1,-999.0,-0.3,1.0,11.3,-999.0,1,0.5,6.9,0
19480110,5,8.0,73.0,7.5,6.8,997.0,-999.0,0.4,1.0,9.1,-999.0,1,0.0,0.0,0
19480111,5,5.3,85.0,6.8,3.5,998.0,-999.0,-1.0,0.9,9.0,-999.0,0,0.0,1.5,0
19480112,5,6.7,84.0,9.3,8.5,999.6,-999.0,-0.5,0.4,10.2,-999.0,1,10.3,1.5,0
19480113,5,8.0,84.0,10.9,11.0,1000.2,-999.0,6.5,7.8,12.2,-999.0,1,7.8,0.0,0
19480114,5,8.0,96.0,9.3,5.9,996.7,-999.0,3.7,4.0,12.8,-999.0,1,50.1,0.0,0
19480115,5,6.3,91.0,7.5,3.8,989.8,-999.0,0.0,0.9,5.6,-999.0,1,1.3,0.0,0
19480116,5,7.0,90.0,7.1,3.2,991.9,-999.0,0.4,1.0,4.4,-999.0,1,1.0,0.9,0
19480117,5,7.3,79.0,5.9,2.9,996.3,-999.0,1.0,1.6,3.2,-999.0,8,0.3,0.0,0
19480118,5,6.3,85.0,6.7,3.5,987.2,-999.0,0.3,1.5,5.6,-999.0,1,5.2,2.0,0
19480119,5,5.3,77.0,6.3,4.1,980.7,-999.0,1.0,1.8,6.6,-999.0,1,0.3,5.4,0
19480120,5,4.0,79.0,5.3,0.6,984.3,-999.0,-3.2,-2.6,4.4,-999.0,1,0.0,3.9,0
19480121,5,7.3,78.0,4.7,-0.1,991.0,-999.0,-3.5,-3.5,2.2,-999.0,1,0.0,1.2,0
19480122,5,7.7,87.0,6.4,2.7,987.5,-999.0,-1.3,-0.9,4.3,-999.0,8,3.4,0.0,0
19480123,5,7.3,89.0,6.3,2.2,988.3,-999.0,-2.0,-1.9,4.3,-999.0,1,3.7,1.4,0
19480124,5,8.0,95.0,7.6,3.6,990.4,-999.0,1.2,1.7,5.0,-999.0,1,0.7,0.0,0
19480125,5,8.0,94.0,7.1,2.8,990.4,-999.0,1.7,1.9,3.5,-999.0,1,0.0,0.0,0
19480126,5,8.0,94.0,6.5,1.8,985.5,-999.0,0.9,0.9,3.2,-999.0,1,3.5,1.0,0
19480127,5,7.3,94.0,8.0,4.4,980.8,-999.0,1.5,1.7,6.7,-999.0,1,5.4,4.9,0
19480128,5,7.0,82.0,7.6,5.1,989.0,-999.0,0.3,1.7,9.3,-999.0,1,1.1,2.7,0
19480129,5,5.3,74.0,8.3,8.6,987.9,-999.0,0.5,2.0,12.8,-999.0,1,1.6,4.1,0
19480130,5,7.3,69.0,8.7,10.8,999.8,-999.0,3.3,4.3,12.4,-999.0,1,4.4,2.6,0
