Mess_Datum,Qualitaets_Niveau,BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE,WINDGESCHWINDIGKEIT,LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM,WINDSPITZE_MAXIMUM,NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER,SCHNEEHOEHE
18930101,5,5.4,79.0,2.3,-10.6,992.6,-999.0,-999.0,-13.3,-8.1,-999.0,0,0.0,2.6,7
18930102,5,4.6,97.0,2.3,-12.9,997.1,-999.0,-999.0,-16.0,-8.5,-999.0,7,0.1,1.1,7
18930103,5,6.6,85.0,1.9,-12.0,1012.3,-999.0,-999.0,-17.9,-9.7,-999.0,7,3.2,0.2,6
18930104,5,8.0,96.0,3.7,-5.5,1015.6,-999.0,-999.0,-10.1,-4.7,-999.0,7,1.7,0.0,9
18930105,5,8.0,95.0,3.7,-6.2,1017.5,-999.0,-999.0,-8.1,-3.6,-999.0,0,0.0,0.0,11
18930106,5,6.4,83.0,1.7,-13.9,1017.4,-999.0,-999.0,-17.7,-7.8,-999.0,0,0.0,0.3,10
18930107,5,1.4,80.0,1.5,-15.2,1011.6,-999.0,-999.0,-17.8,-12.6,-999.0,0,0.0,6.7,10
18930108,5,1.4,79.0,2.0,-11.2,1006.0,-999.0,-999.0,-15.8,-6.9,-999.0,0,0.0,6.8,10
18930109,5,7.4,84.0,3.3,-5.5,997.6,-999.0,-999.0,-12.8,-3.8,-999.0,7,0.6,0.0,9
18930110,5,8.0,88.0,3.7,-4.6,997.1,-999.0,-999.0,-8.0,-3.0,-999.0,7,0.1,0.0,10
18930111,5,2.6,84.0,2.4,-11.5,1005.8,-999.0,-999.0,-15.3,-4.0,-999.0,0,0.0,5.0,10
18930112,5,4.6,86.0,1.9,-12.6,1008.7,-999.0,-999.0,-18.3,-10.7,-999.0,0,0.0,3.6,10
18930113,5,7.8,93.0,2.9,-8.1,997.1,-999.0,-999.0,-12.0,-5.9,-999.0,7,6.2,0.0,10
18930114,5,5.4,90.0,2.7,-11.0,991.0,-999.0,-999.0,-15.7,-3.4,-999.0,7,0.7,0.0,20
18930115,5,6.6,88.0,1.6,-14.6,1007.6,-999.0,-999.0,-19.5,-11.7,-999.0,7,0.3,0.9,19
18930116,5,8.0,91.0,2.3,-11.1,1002.7,-999.0,-999.0,-16.4,-7.5,-999.0,7,5.1,0.0,19
18930117,5,4.0,85.0,1.6,-17.5,1004.4,-999.0,-999.0,-21.8,-7.7,-999.0,7,0.1,4.1,28
18930118,5,4.6,84.0,1.2,-19.2,1016.6,-999.0,-999.0,-24.3,-15.1,-999.0,7,0.1,4.7,25
18930119,5,1.0,83.0,1.1,-18.4,1023.0,-999.0,-999.0,-25.7,-16.0,-999.0,0,0.0,7.4,23
18930120,5,5.4,84.0,2.8,-7.8,1010.6,-999.0,-999.0,-18.8,-3.6,-999.0,7,2.6,5.3,22
18930121,5,4.6,83.0,3.9,-4.0,998.4,-999.0,-999.0,-5.7,-0.9,-999.0,7,0.4,0.6,25
