Mess_Datum,Qualitaets_Niveau,BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE,WINDGESCHWINDIGKEIT,LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM,WINDSPITZE_MAXIMUM,NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER,SCHNEEHOEHE
20050715,3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4,1.8,-999.0,-999
20050716,3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999
20050717,3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,0.0,-999.0,-999
20050718,3,3.3,59.0,15.3,22.4,994.5,-999.0,-999.0,-999.0,-999.0,-999.0,4,0.7,-999.0,-999
20050719,3,7.3,62.0,14.3,19.8,1000.9,-999.0,14.5,16.5,22.1,-999.0,4,3.3,3.4,-999
20050720,3,6.3,66.0,13.4,17.9,1004.4,-999.0,10.6,12.8,22.8,-999.0,4,1.5,2.2,-999
20050721,3,5.9,61.0,11.7,17.5,1001.8,-999.0,9.9,12.0,22.6,-999.0,4,0.1,6.9,-999
20050722,3,7.8,73.0,13.2,16.1,998.0,-999.0,13.1,13.8,19.1,-999.0,4,1.2,0.0,-999
20050723,3,7.3,59.0,11.2,17.0,996.1,-999.0,10.7,12.8,21.9,-999.0,0,0.0,5.0,-999
20050724,3,5.9,77.0,15.3,17.7,994.2,-999.0,9.6,11.4,24.8,-999.0,4,5.4,5.0,-999
20050725,3,6.8,78.0,18.1,20.3,992.1,-999.0,16.2,16.9,25.8,-999.0,4,2.3,5.0,-999
20050726,3,7.3,73.0,16.6,20.0,996.5,-999.0,15.1,16.3,24.7,-999.0,4,2.2,4.4,-999
20050727,3,5.1,64.0,18.0,23.8,996.4,-999.0,16.6,17.0,31.6,-999.0,4,0.5,11.6,-999
20050728,3,4.5,62.0,19.9,26.2,996.6,-999.0,18.2,19.2,34.5,-999.0,4,1.6,9.7,-999
20050729,3,7.2,77.0,20.6,22.4,998.2,-999.0,17.5,18.2,27.3,-999.0,4,7.7,3.5,-999
20050730,3,5.4,72.0,16.5,20.1,999.1,-999.0,12.0,13.4,25.5,-999.0,0,0.0,6.6,-999
20050731,3,4.0,69.0,14.0,18.5,999.9,-999.0,10.2,11.5,24.5,-999.0,0,0.0,7.8,-999
20050801,3,5.5,71.0,14.7,18.5,1002.9,-999.0,11.3,12.5,24.4,6.2,4,0.5,8.0,-999
20050802,3,7.6,67.0,13.9,18.2,1004.2,-999.0,13.4,14.6,22.1,6.8,4,0.0,0.7,-999
20050803,3,5.5,56.0,12.3,19.7,1004.7,-999.0,14.5,15.2,24.9,11.0,4,0.1,8.7,-999
20050804,3,3.8,60.0,11.7,17.7,1009.1,-999.0,9.1,11.3,23.4,9.2,0,0.0,7.4,-999
20050805,3,5.4,75.0,13.7,16.3,1005.1,-999.0,7.2,9.1,23.4,9.8,4,1.0,3.9,-999
20050806,3,5.4,67.0,12.0,16.2,1002.4,-999.0,11.7,12.0,21.0,10.5,4,3.4,7.5,-999
20050807,3,6.3,70.0,11.1,14.2,998.9,-999.0,8.7,9.8,19.2,13.3,4,1.3,5.8,-999
20050808,3,7.2,78.0,12.7,14.4,1000.8,-999.0,9.9,10.8,19.2,9.3,4,1.6,3.2,-999
20050809,3,6.5,69.0,11.6,15.5,1000.0,-999.0,9.4,11.2,21.0,9.6,0,0.0,5.9,-999
20050810,3,5.9,65.0,10.8,14.9,998.8,-999.0,7.1,10.2,20.2,11.0,0,0.0,-999.0,-999
20050811,3,5.3,74.0,12.7,15.5,999.8,-999.0,5.4,7.8,23.0,7.8,0,0.0,5.1,-999
20050812,3,5.3,80.0,15.6,17.3,998.8,-999.0,10.6,12.3,25.3,8.7,4,3.2,6.1,-999
20050813,3,3.8,70.0,12.7,16.5,1003.2,-999.0,8.4,10.1,23.1,12.5,4,0.3,9.5,-999
20050814,3,7.0,90.0,15.0,14.7,998.3,-999.0,12.5,13.4,16.5,7.7,4,12.5,1.0,-999
20050815,3,7.2,84.0,15.1,15.9,1003.1,-999.0,11.4,12.3,20.8,6.4,4,2.6,4.0,-999
20050816,3,3.8,75.0,15.3,18.2,1006.5,-999.0,11.7,14.0,23.5,7.8,0,0.0,7.9,-999
20050817,3,0.6,68.0,14.1,18.8,1005.4,-999.0,9.7,11.7,25.9,6.7,0,0.0,12.9,-999
20050818,3,1.3,64.0,15.9,21.6,1001.0,-999.0,11.9,13.9,28.5,8.8,0,0.0,11.9,-999
20050819,3,4.0,75.0,17.6,20.7,999.6,-999.0,12.5,14.4,29.1,11.6,4,23.8,8.2,-999
20050820,3,6.8,74.0,16.0,19.0,1002.6,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999
20050821,3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999
20050822,3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,15.9,-999.0,24.4,9.4,4,0.4,-999.0,-999
20050823,3,7.1,71.0,15.8,19.3,998.7,-999.0,15.9,16.4,23.0,7.8,0,0.0,2.7,-999
20050824,3,6.6,73.0,15.9,18.9,999.1,-999.0,14.4,15.9,22.9,7.0,4,0.1,5.0,-999
20050825,3,6.8,87.0,16.0,16.2,993.6,-999.0,11.7,13.4,18.7,10.4,4,3.8,0.0,-999
20050826,3,3.1,70.0,11.9,15.5,1002.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999
20050828,3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999
20050829,3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,12.4,-999.0,28.2,-999.0,4,0.0,-999.0,-999
20050830,3,0.0,66.0,15.1,20.8,1009.6,-999.0,10.5,12.5,29.7,7.7,0,0.0,12.7,-999
20050831,3,0.0,67.0,16.1,21.5,1003.1,-999.0,11.4,13.7,30.1,8.1,0,0.0,12.6,-999
20050901,3,2.0,68.0,17.7,22.4,1000.9,-999.0,12.8,14.7,30.0,9.5,0,0.0,10.3,-999
20050902,3,4.2,69.0,17.7,21.6,1008.8,-999.0,15.1,17.0,26.1,5.1,0,0.0,3.7,-999
20050903,3,2.7,67.0,16.3,21.1,1012.4,-999.0,13.0,15.7,27.1,8.1,0,0.0,10.3,-999
20050904,3,0.8,67.0,15.0,19.8,1009.5,-999.0,10.9,12.9,27.1,7.0,0,0.0,11.1,-999
20050905,3,0.2,62.0,12.9,19.4,1002.3,-999.0,9.0,11.3,27.6,8.2,0,0.0,12.4,-999
20050906,3,0.5,65.0,14.9,20.3,997.5,-999.0,10.3,12.5,28.9,5.4,0,0.0,11.8,-999
20050907,3,0.1,65.0,14.6,20.8,997.8,-999.0,10.4,12.8,30.0,6.3,0,0.0,12.2,-999
20050908,3,0.3,66.0,15.4,21.0,999.9,-999.0,11.1,12.9,30.2,4.8,0,0.0,11.1,-999
20050909,3,5.0,72.0,17.5,21.0,995.7,-999.0,12.6,14.6,27.9,4.8,4,0.1,4.8,-999
