Mess_Datum,Qualitaets_Niveau,BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE,WINDGESCHWINDIGKEIT,LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM,WINDSPITZE_MAXIMUM,NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER,SCHNEEHOEHE
19720501,5,2.9,61.0,9.9,14.5,992.7,8.1,5.3,7.2,20.8,14.0,0,0.0,12.0,0
19720502,5,3.5,72.0,11.6,14.6,995.2,3.7,5.4,6.7,20.5,-999.0,0,0.0,8.7,0
19720503,5,6.0,64.0,10.5,14.8,995.2,4.9,7.2,9.7,20.4,-999.0,1,1.2,5.0,0
19720504,5,7.4,88.0,10.8,9.9,994.5,4.4,8.3,9.1,14.6,-999.0,1,0.0,0.0,0
19720505,5,5.4,80.0,11.1,12.2,996.4,2.9,7.4,8.0,17.1,-999.0,0,0.0,4.1,0
19720506,5,2.1,76.0,11.4,13.8,1000.0,1.6,5.2,7.3,20.7,-999.0,0,0.0,8.6,0
19720507,5,3.3,70.0,11.4,14.8,1000.4,3.0,4.7,8.5,19.7,-999.0,0,0.0,10.2,0
19720508,5,4.5,77.0,11.8,13.6,1001.6,3.1,5.4,8.7,20.4,-999.0,0,0.0,8.9,0
19720509,5,4.1,73.0,11.4,14.1,1000.8,4.1,6.7,9.1,20.8,13.0,1,1.2,6.4,0
19720510,5,7.0,83.0,11.4,11.8,998.7,4.4,6.8,9.9,15.6,-999.0,1,11.5,1.6,0
19720511,5,7.6,89.0,10.5,9.6,996.4,4.3,7.3,8.4,12.2,-999.0,1,0.4,0.7,0
19720512,5,4.1,80.0,9.5,9.6,992.8,2.9,2.3,3.5,14.3,-999.0,1,6.3,9.1,0
19720513,5,6.8,87.0,9.2,7.9,990.6,4.5,5.2,5.7,11.6,-999.0,1,1.7,1.9,0
19720514,5,5.4,86.0,8.3,6.4,992.0,3.1,1.6,2.8,8.8,-999.0,1,0.0,0.9,0
19720515,5,7.4,87.0,9.1,7.8,995.6,4.3,2.4,6.2,9.5,-999.0,0,0.0,0.0,0
19720516,5,8.0,94.0,9.3,6.9,996.1,6.1,2.6,6.3,8.4,14.0,1,9.0,0.0,0
19720517,5,5.0,78.0,9.3,10.0,996.2,3.8,3.6,6.2,15.2,-999.0,0,0.0,7.9,0
19720518,5,4.1,79.0,10.3,11.1,1001.1,3.0,4.4,6.4,17.3,-999.0,1,4.2,8.8,0
19720519,5,8.0,92.0,12.6,11.5,998.9,3.7,5.3,9.6,14.4,-999.0,1,2.0,0.0,0
19720520,5,7.3,87.0,11.8,11.6,998.0,5.3,5.4,9.4,14.9,-999.0,0,0.0,0.0,0
19720521,5,5.0,79.0,11.0,12.2,1001.9,4.3,5.7,6.5,18.4,12.0,1,0.5,7.5,0
19720522,5,2.8,64.0,10.0,14.9,1004.3,3.3,7.6,7.7,20.9,-999.0,0,0.0,11.6,0
19720523,5,3.1,63.0,12.0,17.6,1002.8,4.2,5.6,10.2,24.4,-999.0,0,0.0,13.5,0
19720524,5,5.9,74.0,13.5,16.0,1003.6,5.0,6.1,13.7,21.1,-999.0,1,3.0,3.2,0
19720525,5,6.4,76.0,12.6,14.6,1004.0,5.1,7.7,10.1,19.3,14.0,1,0.7,3.9,0
19720526,5,7.0,78.0,12.9,14.7,995.5,7.1,9.5,10.6,18.9,18.0,1,1.2,1.4,0
19720527,5,6.3,66.0,9.4,12.3,987.0,9.8,7.7,9.9,18.2,22.0,1,0.5,6.7,0
19720528,5,7.3,79.0,10.1,10.7,992.1,7.6,7.7,8.0,13.5,16.0,1,9.6,0.0,0
19720529,5,5.9,73.0,10.9,13.4,997.6,6.0,7.1,9.3,18.3,16.0,1,2.5,7.5,0
19720530,5,5.6,72.0,10.6,13.1,997.8,5.3,9.4,9.1,18.2,13.0,1,0.3,9.1,0
19720531,5,4.9,68.0,9.5,12.5,998.9,6.1,7.1,7.5,17.6,-999.0,0,0.0,8.7,0
19720601,5,5.8,73.0,9.6,11.6,999.9,4.0,5.3,7.1,16.6,-999.0,0,0.0,6.7,0
19720602,5,5.0,79.0,10.3,11.3,1003.1,1.9,4.6,7.1,16.6,-999.0,1,0.7,5.9,0
19720603,5,2.5,69.0,11.1,15.0,1004.1,3.3,5.7,8.4,21.7,-999.0,0,0.0,11.2,0
19720604,5,1.9,58.0,11.8,18.8,1000.9,4.4,9.6,10.6,26.6,-999.0,0,0.0,12.8,0
19720605,5,1.8,66.0,15.6,20.5,997.7,3.3,10.6,12.0,29.5,-999.0,0,0.0,12.5,0
19720606,5,3.4,70.0,17.1,21.3,995.3,4.3,12.6,14.9,27.8,14.0,1,5.7,10.4,0
19720607,5,4.5,73.0,13.4,16.5,1002.8,3.3,11.1,12.3,21.9,12.0,1,3.8,9.7,0
19720608,5,4.5,72.0,12.0,15.0,1001.8,7.0,11.6,13.1,19.9,17.0,0,0.0,7.0,0
19720609,5,3.3,66.0,10.3,14.3,1002.0,3.3,5.1,7.6,20.6,-999.0,0,0.0,12.0,0
19720610,5,3.5,75.0,12.5,14.9,995.2,3.1,8.1,9.6,19.4,-999.0,1,0.5,6.4,0
19720611,5,6.8,75.0,13.2,15.8,995.2,2.3,10.7,12.5,20.0,-999.0,1,4.0,1.6,0
19720612,5,7.9,94.0,12.9,11.6,992.1,5.2,11.1,11.2,17.3,-999.0,1,20.0,0.0,0
19720613,5,5.6,81.0,11.6,12.6,997.4,3.6,10.1,10.3,17.5,-999.0,0,0.0,4.3,0
19720614,5,3.4,79.0,12.1,13.4,1001.8,2.9,5.4,7.5,18.0,-999.0,0,0.0,7.1,0
19720615,5,4.1,78.0,12.3,14.1,998.4,1.8,8.1,9.1,19.3,-999.0,1,0.0,2.7,0
19720616,5,6.6,80.0,11.8,13.5,999.2,3.0,10.1,10.8,18.9,-999.0,1,0.9,0.0,0
19720617,5,4.6,78.0,12.3,14.1,1005.0,2.4,9.5,10.2,19.0,-999.0,0,0.0,7.8,0
19720618,5,2.3,64.0,11.7,16.8,1000.2,4.0,10.1,11.9,22.3,-999.0,0,0.0,8.1,0
19720619,5,5.6,70.0,13.5,17.1,994.7,5.5,14.6,14.0,21.1,15.0,1,0.3,3.4,0
19720620,5,4.9,72.0,10.9,13.5,1002.0,5.5,9.3,9.6,18.1,15.0,0,0.0,7.0,0
19720621,5,4.9,63.0,10.9,15.7,1003.7,3.6,6.7,10.0,20.9,-999.0,0,0.0,2.8,0
19720622,5,5.0,68.0,12.9,17.1,998.8,4.9,10.5,11.8,22.7,12.0,1,5.8,1.3,0
19720623,5,5.9,71.0,10.7,13.5,996.5,6.5,11.1,11.7,19.4,20.0,1,2.8,6.1,0
19720624,5,5.1,70.0,10.7,13.5,1001.4,3.8,8.4,9.7,17.8,-999.0,1,1.8,6.4,0
19720625,5,1.9,63.0,10.5,15.3,1005.3,1.7,5.9,8.1,20.7,-999.0,0,0.0,10.5,0
19720626,5,0.1,59.0,11.1,17.8,1003.3,0.8,6.1,10.6,23.9,-999.0,0,0.0,12.7,0
19720627,5,1.5,68.0,14.6,18.9,999.6,2.3,7.5,11.9,25.4,-999.0,0,0.0,9.7,0
19720628,5,1.5,70.0,16.1,20.4,998.7,3.9,11.0,13.6,27.7,14.0,0,0.0,10.9,0
19720629,5,7.6,83.0,15.5,16.5,1000.4,5.4,15.4,14.8,21.9,-999.0,0,0.0,0.0,0
19720630,5,7.9,89.0,15.7,15.5,993.8,5.1,13.8,14.1,21.2,14.0,1,11.1,0.0,0
19720701,5,4.8,72.0,10.5,12.8,999.1,6.0,8.1,9.2,16.6,13.0,0,0.0,8.0,-999
19720702,5,3.9,74.0,12.2,15.0,1001.4,5.0,7.1,9.7,20.3,-999.0,1,0.0,7.4,-999
19720703,5,7.1,86.0,13.4,13.7,1001.4,4.0,7.3,12.0,16.4,-999.0,1,2.9,0.0,-999
19720704,5,4.8,78.0,14.2,16.2,1000.8,4.7,7.1,12.1,21.2,-999.0,0,0.0,4.1,-999
19720705,5,2.0,72.0,15.1,18.9,997.4,4.2,9.6,12.4,25.8,-999.0,0,0.0,11.1,-999
19720706,5,1.1,67.0,15.6,20.5,996.7,3.7,11.1,13.4,26.9,-999.0,1,0.0,12.3,-999
19720707,5,3.6,71.0,15.9,19.6,1001.4,5.8,15.4,16.4,24.6,13.0,1,0.0,6.3,-999
19720708,5,6.1,69.0,14.5,18.5,1003.9,4.2,11.4,13.6,23.4,12.0,1,0.0,3.2,-999
19720709,5,3.9,58.0,15.8,23.8,1000.5,4.1,14.5,15.1,31.3,-999.0,1,8.0,10.3,-999
19720710,5,7.3,83.0,17.0,17.8,1002.3,5.0,18.5,13.0,29.2,13.0,1,12.2,0.0,-999
19720711,5,6.8,77.0,11.9,13.8,1007.6,3.3,9.7,10.1,18.4,-999.0,0,0.0,3.6,-999
19720712,5,4.9,68.0,11.7,15.7,1008.1,2.9,10.0,11.9,20.4,-999.0,0,0.0,6.7,-999
19720713,5,0.9,65.0,10.7,15.5,1011.9,4.4,8.1,9.3,21.0,-999.0,0,0.0,14.4,-999
19720714,5,3.1,75.0,12.7,15.2,1012.2,2.4,5.3,9.0,21.0,-999.0,0,0.0,10.2,-999
19720715,5,5.6,76.0,15.3,17.8,1010.3,3.3,5.1,11.8,23.7,-999.0,0,0.0,0.7,-999
19720716,5,4.6,86.0,21.0,20.8,1006.5,3.3,6.8,17.1,27.2,-999.0,0,0.0,4.4,-999
19720717,5,0.8,81.0,22.4,23.0,1003.6,4.2,9.9,17.1,32.0,-999.0,0,0.0,8.5,-999
19720718,5,1.8,66.0,18.1,24.1,1001.3,3.4,13.9,16.1,32.8,-999.0,0,0.0,12.7,-999
19720719,5,1.1,63.0,17.8,24.4,1000.6,3.1,13.7,17.1,32.0,-999.0,0,0.0,12.7,-999
19720720,5,1.1,62.0,18.2,24.7,999.7,1.9,15.0,17.0,32.2,-999.0,0,0.0,12.6,-999
19720721,5,1.4,63.0,18.3,24.6,1000.4,3.6,14.9,16.8,31.6,-999.0,0,0.0,13.5,-999
19720722,5,2.6,70.0,18.9,23.1,1001.7,2.6,15.0,17.7,31.0,12.0,1,0.0,9.0,-999
19720723,5,5.9,75.0,18.9,21.7,1001.2,3.3,14.1,16.7,26.8,-999.0,0,0.0,3.7,-999
19720724,5,2.6,75.0,19.5,22.4,999.9,2.1,14.3,15.8,29.1,-999.0,1,0.2,8.1,-999
19720725,5,7.4,80.0,18.3,19.8,1000.4,3.0,16.0,18.0,27.3,-999.0,1,0.1,0.8,-999
19720726,5,5.1,79.0,15.3,17.0,1003.5,3.8,12.0,14.2,20.9,-999.0,1,0.2,2.0,-999
19720727,5,6.0,66.0,11.7,15.9,1002.4,2.0,8.9,11.1,20.4,-999.0,0,0.0,4.6,-999
19720728,5,7.3,72.0,13.8,17.1,1000.6,2.9,11.1,13.1,21.9,-999.0,1,0.1,0.0,-999
19720729,5,8.0,95.0,16.8,15.6,999.1,4.1,13.6,13.8,18.2,-999.0,1,21.3,0.0,-999
19720730,5,8.0,95.0,16.0,14.9,997.5,5.1,14.1,13.9,16.3,-999.0,1,14.7,0.0,-999
19720731,5,6.0,84.0,15.0,16.0,995.7,3.0,13.2,12.9,21.8,-999.0,1,0.3,2.6,-999
19720801,5,4.4,71.0,14.6,18.5,992.3,2.5,12.6,12.6,23.9,-999.0,0,0.0,11.5,-999
19720802,5,3.8,69.0,12.9,17.0,992.6,3.8,10.8,12.0,23.0,13.0,0,0.0,9.2,-999
19720803,5,4.6,79.0,13.7,15.5,994.0,5.2,9.6,10.8,20.7,-999.0,1,0.5,7.0,-999
