Mess_Datum,Qualitaets_Niveau,BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE,WINDGESCHWINDIGKEIT,LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM,WINDSPITZE_MAXIMUM,NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER,SCHNEEHOEHE
20000701,1,-999,74.0,11.3,13.3,1011.9,-999,-999.0,12.4,14.3,-999,-999,-999.0,2.8,-999
20000702,1,-999,79.0,13.0,14.4,1013.5,-999,-999.0,12.3,14.8,-999,-999,-999.0,3.0,-999
20000703,1,-999,93.0,16.6,15.8,1010.1,-999,-999.0,14.4,16.5,-999,-999,-999.0,2.7,-999
20000704,1,-999,94.0,16.8,15.6,1007.2,-999,-999.0,15.2,16.7,-999,-999,-999.0,11.4,-999
20000705,1,-999,90.0,14.8,14.5,1012.3,-999,-999.0,14.0,15.6,-999,-999,-999.0,0.0,-999
20000706,1,-999,76.0,11.7,13.4,1020.2,-999,-999.0,12.4,14.6,-999,-999,-999.0,1.4,-999
20000707,1,-999,72.0,10.8,12.9,1017.8,-999,-999.0,12.6,13.8,-999,-999,-999.0,7.4,-999
20000708,1,-999,81.0,12.9,14.0,1012.3,-999,-999.0,12.2,14.9,-999,-999,-999.0,5.3,-999
20000709,1,-999,-999.0,-999.0,-999.0,-999.0,-999,-999.0,13.5,15.4,-999,-999,-999.0,0.0,-999
20000710,1,-999,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999,-999,-999.0,5.9,-999
20000711,1,-999,88.0,14.0,13.8,995.7,-999,-999.0,13.0,15.7,-999,-999,-999.0,0.7,-999
20000712,1,-999,79.0,11.8,13.0,1010.8,-999,-999.0,12.1,13.8,-999,-999,-999.0,-999.0,-999
20000713,1,-999,84.0,14.2,14.8,1007.1,-999,-999.0,12.8,15.8,-999,-999,-999.0,1.6,-999
20000714,1,-999,82.0,12.8,13.6,1004.3,-999,-999.0,12.9,14.9,-999,-999,-999.0,4.2,-999
20000715,1,-999,85.0,13.6,14.2,1008.1,-999,-999.0,12.1,14.5,-999,-999,-999.0,4.3,-999
