Mess_Datum,Qualitaets_Niveau,BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE,WINDGESCHWINDIGKEIT,LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM,WINDSPITZE_MAXIMUM,NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER,SCHNEEHOEHE
19480101,5,8.0,91.0,5.5,0.0,1012.3,-999.0,-999.0,-2.9,4.9,-999.0,8,7.0,-999.0,10
19480102,5,7.3,97.0,7.7,3.8,1000.6,-999.0,-999.0,-0.1,5.4,-999.0,1,2.8,-999.0,8
19480103,5,8.0,95.0,9.2,6.0,1003.4,-999.0,-999.0,4.1,7.9,-999.0,1,8.4,-999.0,0
19480104,5,8.0,95.0,9.7,7.4,1000.0,-999.0,-999.0,4.6,9.2,-999.0,1,5.6,-999.0,0
19480105,5,8.0,97.0,9.7,6.8,989.4,-999.0,-999.0,6.4,8.1,-999.0,1,1.3,-999.0,0
19480106,5,2.7,86.0,6.7,3.1,993.4,-999.0,-999.0,2.1,6.4,-999.0,0,0.0,-999.0,0
19480107,5,8.0,96.0,6.7,2.1,984.2,-999.0,-999.0,0.1,3.0,-999.0,8,14.3,-999.0,0
19480108,5,8.0,94.0,7.2,3.2,976.7,-999.0,-999.0,1.2,6.5,-999.0,8,0.9,-999.0,0
19480109,5,7.3,93.0,5.7,0.2,1000.3,-999.0,-999.0,-2.9,3.5,-999.0,1,0.1,-999.0,0
19480110,5,8.0,81.0,5.5,0.6,998.8,-999.0,-999.0,-3.4,2.4,-999.0,1,0.4,-999.0,0
19480111,5,7.7,80.0,4.4,-1.0,1015.4,-999.0,-999.0,-4.6,2.4,-999.0,7,3.3,-999.0,0
19480112,5,5.3,94.0,6.7,2.2,999.9,-999.0,-999.0,-1.5,3.9,-999.0,8,7.5,-999.0,0
19480113,5,8.0,94.0,8.0,4.4,992.7,-999.0,-999.0,2.3,5.9,-999.0,1,6.5,-999.0,0
19480114,5,3.3,87.0,6.8,3.0,994.3,-999.0,-999.0,2.2,5.9,-999.0,0,0.0,-999.0,0
19480115,5,2.3,66.0,3.9,-0.8,1002.7,-999.0,-999.0,-2.0,2.4,-999.0,0,0.0,-999.0,0
19480116,5,6.0,70.0,4.3,-0.3,1008.3,-999.0,-999.0,-1.9,0.9,-999.0,0,0.0,-999.0,0
19480117,5,7.0,89.0,5.5,0.2,1005.1,-999.0,-999.0,-3.9,1.3,-999.0,7,1.1,-999.0,0
19480118,5,3.7,93.0,6.3,1.6,986.8,-999.0,-999.0,-0.6,2.9,-999.0,1,0.0,-999.0,0
19480119,5,6.0,87.0,6.0,1.5,989.6,-999.0,-999.0,0.1,2.4,-999.0,0,0.0,-999.0,0
19480120,5,6.0,94.0,6.3,1.0,993.8,-999.0,-999.0,-0.5,1.8,-999.0,7,2.4,-999.0,0
19480121,5,8.0,95.0,5.7,-0.2,999.9,-999.0,-999.0,-1.0,0.9,-999.0,7,0.5,-999.0,0
19480122,5,7.0,84.0,4.9,-0.6,998.8,-999.0,-999.0,-2.9,-0.1,-999.0,7,0.4,-999.0,0
19480123,5,8.0,93.0,5.5,-0.4,1001.6,-999.0,-999.0,-1.5,0.3,-999.0,7,0.2,-999.0,2
19480124,5,8.0,90.0,5.7,0.5,1007.4,-999.0,-999.0,-1.1,1.4,-999.0,0,0.0,-999.0,2
19480125,5,8.0,92.0,6.3,1.4,1005.0,-999.0,-999.0,0.0,2.4,-999.0,0,0.0,-999.0,0
19480126,5,8.0,98.0,6.4,1.0,999.2,-999.0,-999.0,0.0,1.6,-999.0,0,0.0,-999.0,0
19480127,5,8.0,99.0,6.3,0.5,997.1,-999.0,-999.0,-0.5,2.0,-999.0,0,0.0,-999.0,0
19480128,5,7.7,97.0,6.8,2.1,995.4,-999.0,-999.0,-0.9,2.9,-999.0,0,0.0,-999.0,0
19480129,5,7.3,95.0,7.1,2.8,997.0,-999.0,-999.0,0.5,3.9,-999.0,0,0.0,-999.0,0
19480130,5,8.0,94.0,7.9,4.4,999.2,-999.0,-999.0,1.9,6.4,-999.0,1,3.1,-999.0,0
19480131,5,3.3,87.0,8.8,6.9,999.5,-999.0,-999.0,4.5,8.9,-999.0,0,0.0,-999.0,0
19480201,5,8.0,91.0,8.4,5.7,1010.7,-999.0,-999.0,4.5,6.9,-999.0,1,0.1,-999.0,0
19480202,5,7.3,92.0,8.9,7.0,1011.0,-999.0,-999.0,3.6,8.5,-999.0,1,5.1,-999.0,0
19480203,5,8.0,89.0,8.7,6.2,1003.5,-999.0,-999.0,5.0,8.4,-999.0,1,6.3,-999.0,0
19480204,5,6.7,89.0,7.7,4.7,1001.8,-999.0,-999.0,2.0,5.4,-999.0,1,4.5,-999.0,0
19480205,5,4.0,89.0,7.5,4.3,1007.2,-999.0,-999.0,2.3,6.5,-999.0,1,0.6,-999.0,0
19480206,5,8.0,96.0,7.7,4.0,1000.8,-999.0,-999.0,2.4,5.1,-999.0,1,6.4,-999.0,0
19480207,5,7.0,91.0,7.5,3.8,1007.4,-999.0,-999.0,1.6,5.9,-999.0,1,1.8,-999.0,0
19480208,5,5.0,94.0,7.6,3.4,1004.7,-999.0,-999.0,2.0,6.4,-999.0,1,4.3,-999.0,0
19480209,5,8.0,97.0,7.7,3.6,999.4,-999.0,-999.0,1.0,5.9,-999.0,1,4.7,-999.0,0
19480210,5,8.0,90.0,6.5,2.4,1013.2,-999.0,-999.0,0.1,2.9,-999.0,1,0.0,-999.0,0
19480211,5,4.7,88.0,6.1,1.6,1012.4,-999.0,-999.0,0.9,2.7,-999.0,0,0.0,-999.0,0
