Mess_Datum,Qualitaets_Niveau,BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE,WINDGESCHWINDIGKEIT,LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM,WINDSPITZE_MAXIMUM,NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER,SCHNEEHOEHE
19450101,5,8.0,97.0,2.1,-13.1,851.0,-999.0,-999.0,-13.8,-9.8,-999.0,7,3.2,0.0,70
19450102,5,5.0,67.0,1.9,-10.0,856.0,-999.0,-999.0,-13.8,-8.0,-999.0,0,0.0,6.8,75
19450103,5,5.0,84.0,3.5,-5.8,848.4,-999.0,-999.0,-9.5,-3.7,-999.0,0,0.0,1.7,70
19450104,5,7.0,95.0,3.3,-7.4,831.0,-999.0,-999.0,-8.1,-7.0,-999.0,7,1.6,0.0,65
19450105,5,8.0,97.0,3.2,-8.6,834.2,-999.0,-999.0,-9.4,-6.8,-999.0,7,6.4,0.0,67
19450106,5,8.0,96.0,2.7,-11.0,842.6,-999.0,-999.0,-12.4,-8.8,-999.0,0,0.0,0.0,70
19450107,5,5.3,87.0,2.4,-10.1,840.0,-999.0,-999.0,-13.2,-8.4,-999.0,7,7.6,6.0,70
19450108,5,8.0,97.0,2.4,-12.0,831.4,-999.0,-999.0,-13.8,-9.0,-999.0,7,7.3,0.0,80
19450109,5,5.7,98.0,2.5,-11.8,829.7,-999.0,-999.0,-12.5,-10.4,-999.0,7,0.7,0.0,90
19450110,5,0.7,93.0,2.3,-12.4,832.6,-999.0,-999.0,-14.3,-8.5,-999.0,0,0.0,6.1,90
19450111,5,3.3,92.0,1.9,-14.2,833.8,-999.0,-999.0,-14.6,-13.3,-999.0,0,0.0,4.9,90
19450112,5,1.0,62.0,1.7,-8.2,838.3,-999.0,-999.0,-14.5,-5.6,-999.0,0,0.0,7.5,85
19450113,5,5.0,64.0,2.5,-6.0,845.6,-999.0,-999.0,-8.5,-4.6,-999.0,0,0.0,0.0,80
19450114,5,0.7,55.0,3.1,-1.2,847.5,-999.0,-999.0,-6.5,0.1,-999.0,0,0.0,8.3,70
19450115,5,1.0,51.0,2.8,-2.4,846.4,-999.0,-999.0,-4.8,1.8,-999.0,0,0.0,8.1,65
19450116,5,1.3,58.0,2.0,-5.3,839.9,-999.0,-999.0,-10.0,-3.0,-999.0,0,0.0,5.0,60
19450117,5,6.0,73.0,2.9,-5.2,839.5,-999.0,-999.0,-6.3,-2.2,-999.0,0,0.0,5.7,55
19450118,5,8.0,99.0,4.1,-5.1,834.6,-999.0,-999.0,-5.9,-4.7,-999.0,7,10.1,0.0,45
19450119,5,8.0,98.0,3.6,-7.4,827.3,-999.0,-999.0,-8.4,-3.0,-999.0,7,4.6,0.0,55
19450120,5,8.0,97.0,2.8,-10.2,831.5,-999.0,-999.0,-11.9,-8.0,-999.0,7,19.0,0.0,65
19450121,5,8.0,97.0,2.5,-11.5,834.6,-999.0,-999.0,-11.9,-10.2,-999.0,7,6.8,0.0,80
19450122,5,8.0,97.0,2.5,-11.3,843.0,-999.0,-999.0,-12.6,-10.6,-999.0,7,1.6,0.0,90
19450123,5,7.7,95.0,2.9,-8.0,833.8,-999.0,-999.0,-13.6,-3.9,-999.0,7,17.7,0.6,95
19450124,5,8.0,97.0,3.6,-6.9,833.1,-999.0,-999.0,-8.0,-3.8,-999.0,7,11.9,0.0,115
19450125,5,7.7,96.0,3.3,-7.3,834.8,-999.0,-999.0,-9.3,-5.6,-999.0,7,12.5,3.5,130
19450126,5,8.0,97.0,2.8,-10.8,834.0,-999.0,-999.0,-13.7,-4.5,-999.0,7,7.3,0.0,143
19450127,5,8.0,97.0,2.5,-11.2,833.8,-999.0,-999.0,-15.3,-7.8,-999.0,7,8.0,0.0,150
19450128,5,8.0,97.0,2.1,-13.0,836.8,-999.0,-999.0,-14.9,-10.6,-999.0,7,5.5,0.0,160
19450129,5,6.7,91.0,1.6,-16.0,848.8,-999.0,-999.0,-17.5,-12.7,-999.0,7,0.4,2.4,169
19450130,5,8.0,88.0,2.8,-8.2,844.6,-999.0,-999.0,-16.3,-5.2,-999.0,7,5.7,0.0,170
19450131,5,8.0,99.0,6.1,0.3,846.3,-999.0,-999.0,-6.0,1.2,-999.0,1,8.6,0.0,175
19450201,5,8.0,99.0,6.0,-0.6,847.0,-999.0,-999.0,-2.4,2.1,-999.0,8,1.7,0.0,140
19450202,5,5.3,80.0,4.4,-1.3,846.4,-999.0,-999.0,-3.8,-0.3,-999.0,7,2.7,2.3,100
19450203,5,8.0,99.0,5.2,-2.4,849.1,-999.0,-999.0,-3.2,-0.4,-999.0,7,6.7,0.0,95
19450204,5,8.0,98.0,4.8,-2.4,852.6,-999.0,-999.0,-5.8,-0.4,-999.0,1,0.2,0.0,105
19450205,5,8.0,100.0,6.4,0.7,850.8,-999.0,-999.0,-0.5,1.4,-999.0,8,23.6,0.0,90
19450206,5,8.0,99.0,5.1,-2.4,852.6,-999.0,-999.0,-3.0,1.8,-999.0,8,3.5,0.0,80
19450207,5,8.0,100.0,6.1,0.0,848.8,-999.0,-999.0,-3.0,0.8,-999.0,1,14.9,0.0,83
19450208,5,6.3,93.0,5.1,-1.6,847.8,-999.0,-999.0,-2.7,0.2,-999.0,7,9.7,4.7,70
19450209,5,8.0,98.0,4.4,-4.4,846.8,-999.0,-999.0,-5.1,-1.4,-999.0,1,3.1,0.0,70
19450210,5,8.0,98.0,4.3,-4.7,842.4,-999.0,-999.0,-5.7,-2.2,-999.0,7,12.4,0.0,78
19450211,5,8.0,98.0,4.7,-2.9,837.5,-999.0,-999.0,-5.8,-1.4,-999.0,8,30.4,0.0,90
19450212,5,8.0,99.0,7.2,2.6,844.0,-999.0,-999.0,-2.2,3.4,-999.0,1,25.3,0.0,100
19450213,5,7.7,99.0,6.5,1.1,850.8,-999.0,-999.0,0.7,3.2,-999.0,1,0.0,0.1,85
19450214,5,7.0,99.0,6.3,0.3,855.4,-999.0,-999.0,-0.7,1.3,-999.0,1,0.3,2.0,70
19450215,5,0.7,50.0,3.5,1.7,854.7,-999.0,-999.0,-0.7,4.7,-999.0,0,0.0,9.8,50
19450216,5,2.0,77.0,5.1,1.2,854.4,-999.0,-999.0,-1.5,3.4,-999.0,0,0.0,9.4,50
19450217,5,4.0,70.0,5.1,1.8,859.4,-999.0,-999.0,0.2,6.7,-999.0,0,0.0,8.4,40
19450218,5,7.3,77.0,5.2,1.1,861.1,-999.0,-999.0,0.0,2.4,-999.0,7,0.0,0.0,35
19450219,5,3.3,76.0,4.1,-1.4,860.8,-999.0,-999.0,-3.3,0.4,-999.0,0,0.0,5.9,30
19450220,5,6.0,58.0,3.6,0.0,861.4,-999.0,-999.0,-2.7,2.4,-999.0,7,3.1,3.5,30
19450221,5,7.3,99.0,4.5,-4.2,861.2,-999.0,-999.0,-5.2,-1.0,-999.0,0,0.0,0.9,32
19450222,5,4.3,76.0,3.2,-5.0,861.2,-999.0,-999.0,-6.9,-2.9,-999.0,0,0.0,6.5,30
19450223,5,1.7,52.0,3.7,1.6,859.8,-999.0,-999.0,-4.9,5.9,-999.0,0,0.0,9.8,30
19450224,5,4.0,82.0,4.0,-3.1,858.7,-999.0,-999.0,-3.8,1.0,-999.0,0,0.0,4.1,30
19450225,5,6.3,59.0,3.3,-1.5,859.0,-999.0,-999.0,-4.4,2.0,-999.0,0,0.0,9.1,30
19450226,5,8.0,86.0,5.6,0.8,862.0,-999.0,-999.0,-3.9,2.6,-999.0,1,0.0,0.3,30
19450227,5,4.7,80.0,6.9,5.2,865.6,-999.0,-999.0,0.0,10.2,-999.0,0,0.0,10.2,20
19450228,5,5.7,86.0,7.3,4.8,863.5,-999.0,-999.0,3.1,6.0,-999.0,-999,-999.0,9.3,20
19450401,5,5.0,89.0,6.5,2.8,852.0,-999.0,-999.0,-0.2,6.8,-999.0,0,0.0,5.9,7
19450402,5,7.3,78.0,7.5,6.8,848.4,-999.0,-999.0,3.2,9.5,-999.0,1,0.0,8.2,6
19450403,5,7.7,86.0,6.1,1.6,845.9,-999.0,-999.0,-1.0,8.2,-999.0,8,10.0,0.0,5
19450404,5,4.7,81.0,4.8,0.2,850.6,-999.0,-999.0,-2.6,3.2,-999.0,0,0.0,8.8,3
19450405,5,6.0,86.0,5.9,1.4,851.5,-999.0,-999.0,-1.1,5.3,-999.0,7,4.1,3.9,2
19450406,5,7.7,100.0,6.0,-0.1,854.8,-999.0,-999.0,-1.3,1.2,-999.0,7,3.9,1.0,6
19450407,5,7.3,99.0,4.8,-3.3,855.2,-999.0,-999.0,-4.0,0.9,-999.0,7,2.1,0.7,4
19450408,5,0.7,83.0,4.1,-2.3,855.1,-999.0,-999.0,-6.6,1.0,-999.0,0,0.0,12.6,5
19450409,5,1.7,69.0,4.7,1.8,856.4,-999.0,-999.0,-2.6,6.2,-999.0,0,0.0,12.2,3
19450410,5,1.3,62.0,5.7,6.0,855.9,-999.0,-999.0,1.9,10.0,-999.0,-999,-999.0,12.3,1
19450801,5,6.3,93.0,11.2,9.5,851.6,-999.0,-999.0,8.2,12.1,-999.0,1,0.2,-999.0,0
19450802,5,6.0,90.0,10.7,9.2,853.0,-999.0,-999.0,8.6,11.2,-999.0,0,0.0,-999.0,0
19450803,5,2.3,67.0,8.9,11.4,855.5,-999.0,-999.0,6.0,13.6,-999.0,0,0.0,-999.0,0
19450804,5,1.3,63.0,9.5,13.2,854.0,-999.0,-999.0,8.6,16.0,-999.0,0,0.0,-999.0,0
19450805,5,2.7,74.0,12.7,15.1,850.3,-999.0,-999.0,10.6,18.8,-999.0,0,0.0,-999.0,0
19450806,5,5.7,83.0,13.1,13.3,847.4,-999.0,-999.0,11.6,18.5,-999.0,1,4.9,-999.0,0
19450807,5,8.0,99.0,10.8,8.4,848.3,-999.0,-999.0,6.5,11.9,-999.0,1,24.7,-999.0,0
19450808,5,8.0,97.0,11.1,8.8,846.2,-999.0,-999.0,7.5,10.2,-999.0,1,43.2,-999.0,0
