Mess_Datum,Qualitaets_Niveau,BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE,WINDGESCHWINDIGKEIT,LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM,WINDSPITZE_MAXIMUM,NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER,SCHNEEHOEHE
19510101,5,5.3,45.0,2.0,-4.4,809.1,-999.0,-9.4,-8.0,-2.8,-999.0,0,0.0,3.0,33
19510102,5,6.7,55.0,2.9,-1.6,802.9,-999.0,-6.2,-5.2,0.0,-999.0,7,2.6,1.4,31
19510103,5,8.0,98.0,3.6,-7.0,811.4,-999.0,-7.0,-7.9,-0.4,-999.0,7,9.9,0.0,33
19510104,5,5.7,72.0,3.1,-3.8,822.6,-999.0,-9.2,-8.7,-1.8,-999.0,7,0.1,0.0,44
19510105,5,4.7,71.0,4.4,1.2,825.0,-999.0,-8.0,-2.6,3.3,-999.0,0,0.0,3.0,44
19510106,5,3.0,23.0,2.1,6.0,823.7,-999.0,-1.9,1.4,8.3,-999.0,0,0.0,6.3,40
19510107,5,6.0,74.0,3.9,-2.6,820.5,-999.0,-3.2,-5.0,6.7,-999.0,7,3.6,1.5,36
19510108,5,4.3,69.0,3.2,-1.9,821.8,-999.0,-6.7,-6.0,0.7,-999.0,0,0.0,7.1,39
19510109,5,3.3,69.0,3.3,-3.4,821.8,-999.0,-6.1,-4.4,0.8,-999.0,7,0.9,3.1,38
19510110,5,0.7,24.0,1.6,1.2,823.4,-999.0,-9.3,-4.5,2.3,-999.0,0,0.0,7.4,39
19510111,5,4.7,39.0,2.5,0.8,818.7,-999.0,-5.2,-1.5,2.3,-999.0,0,0.0,6.4,34
19510112,5,3.7,67.0,4.1,0.0,809.7,-999.0,-1.7,-0.9,2.1,-999.0,7,6.5,3.2,31
19510113,5,7.0,97.0,3.9,-5.9,809.8,-999.0,-5.5,-6.3,-0.9,-999.0,7,3.4,0.5,38
19510114,5,4.3,84.0,3.5,-5.2,818.5,-999.0,-7.0,-6.3,-4.1,-999.0,1,0.0,5.8,42
19510115,5,6.3,61.0,3.3,-1.9,814.9,-999.0,-8.3,-5.5,3.2,-999.0,7,33.3,0.0,41
19510116,5,8.0,98.0,3.2,-8.0,827.0,-999.0,-8.9,-9.6,-5.5,-999.0,7,15.7,0.0,80
19510117,5,6.0,78.0,3.5,-3.9,826.6,-999.0,-11.3,-9.8,-1.2,-999.0,7,27.8,4.5,98
19510118,5,8.0,98.0,4.8,-3.3,812.7,-999.0,-2.4,-4.3,-0.9,-999.0,7,43.4,0.0,126
19510119,5,8.0,98.0,3.6,-6.8,815.8,-999.0,-6.1,-7.4,-4.3,-999.0,7,51.2,0.0,167
19510120,5,8.0,98.0,4.7,-3.4,813.5,-999.0,-7.2,-7.1,-2.8,-999.0,7,120.3,0.0,208
19510121,5,8.0,98.0,3.6,-6.8,822.7,-999.0,-6.3,-7.3,-3.4,-999.0,7,53.9,0.0,320
