Mess_Datum,Qualitaets_Niveau,BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE,WINDGESCHWINDIGKEIT,LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM,WINDSPITZE_MAXIMUM,NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER,SCHNEEHOEHE
19970103,10,-999.0,-999.0,-999.0,-999.0,-999.0,3.4,-999.0,-999.0,-999.0,-999.0,0,0.0,2.9,8
19970104,10,7.7,94.0,4.1,-4.2,944.1,2.0,-10.2,-9.3,-2.4,-999.0,8,6.2,0.9,8
19970105,10,8.0,96.0,4.5,-3.4,952.5,1.1,-7.6,-4.7,-2.1,-999.0,7,0.0,0.0,15
19970106,10,5.0,92.0,4.1,-4.9,958.9,1.7,-5.5,-6.9,-1.5,-999.0,0,0.0,0.0,13
19970107,10,5.0,90.0,2.8,-8.8,960.0,1.6,-16.7,-13.2,-6.7,4.6,0,0.0,3.9,12
19970108,10,8.0,95.0,3.4,-7.0,954.3,1.9,-8.6,-9.2,-5.2,-999.0,7,0.0,0.0,12
19970109,10,7.7,92.0,3.4,-6.4,949.2,1.4,-11.3,-10.5,-4.4,2.9,0,0.0,1.2,12
19970110,10,8.0,91.0,4.3,-3.4,958.5,1.5,-5.4,-5.5,-2.5,3.1,6,0.0,0.0,12
19970111,10,7.7,92.0,4.2,-4.0,968.7,1.9,-3.8,-4.4,-2.7,4.9,0,0.0,0.0,12
19970112,10,8.0,88.0,3.6,-5.8,973.1,1.1,-6.2,-6.6,-3.8,3.3,0,0.0,0.0,12
19970113,10,8.0,94.0,2.9,-9.0,971.4,0.9,-8.8,-9.5,-6.6,2.6,0,0.0,0.0,12
19970114,10,8.0,94.0,3.0,-8.5,970.6,0.9,-9.9,-10.2,-6.5,2.3,0,0.0,0.0,12
19970115,10,2.7,95.0,3.3,-7.6,970.2,0.9,-10.8,-10.5,-5.8,2.7,0,0.0,0.1,12
19970116,10,0.0,92.0,3.2,-7.8,967.3,1.0,-16.4,-14.4,-2.1,3.4,0,0.0,8.1,12
19970117,10,8.0,94.0,3.4,-7.0,963.8,1.6,-14.5,-12.2,-5.7,4.1,0,0.0,0.0,12
19970118,10,5.3,94.0,3.6,-6.6,964.1,0.6,-6.8,-8.5,-3.6,1.8,0,0.0,0.0,12
19970119,10,8.0,94.0,3.6,-6.1,958.4,1.2,-14.1,-10.0,-4.4,2.7,8,0.4,0.0,12
19970120,10,8.0,97.0,5.1,-2.1,963.6,0.7,-5.8,-5.7,-0.6,2.0,6,0.0,-999.0,12
19970121,10,4.0,96.0,5.2,-1.6,972.1,2.6,-3.7,-3.0,2.1,7.8,0,0.0,-999.0,12
19970122,10,7.0,95.0,5.2,-1.4,969.4,3.2,-6.6,-3.6,-0.5,7.8,0,0.0,3.0,12
19970123,10,8.0,97.0,5.6,-0.8,970.0,1.8,-2.2,-2.0,0.1,5.9,0,0.0,-999.0,10
19970124,10,6.7,94.0,5.2,-1.4,971.1,2.0,-6.2,-3.7,1.1,7.3,7,0.0,0.8,10
19970125,10,7.7,93.0,5.6,-0.1,973.3,2.1,-5.6,-2.8,2.3,5.3,0,0.0,1.0,10
19970126,10,3.7,82.0,4.4,-1.8,969.7,2.2,-7.2,-2.8,1.9,4.9,0,0.0,4.8,8
19970127,10,5.7,87.0,4.0,-3.6,972.3,1.6,-12.4,-6.6,-1.9,4.6,0,0.0,3.1,8
19970128,10,2.7,91.0,4.9,-2.1,977.2,2.3,-3.4,-3.3,0.8,6.8,0,0.0,2.5,7
19970129,10,8.0,91.0,5.0,-1.3,980.4,1.9,-10.6,-4.5,-0.3,4.7,0,0.0,0.0,7
19970130,10,8.0,87.0,4.6,-2.2,977.3,2.0,-2.5,-2.8,-0.6,5.5,7,0.0,0.0,7
19970131,10,8.0,90.0,4.6,-2.2,973.4,3.4,-3.8,-3.5,-1.5,6.5,8,0.0,0.0,7
19970201,10,3.0,87.0,4.7,-2.2,972.7,1.6,-2.6,-3.7,1.0,5.5,7,0.0,3.5,7
19970202,10,1.3,78.0,3.2,-5.3,969.5,2.5,-12.6,-9.2,-0.9,5.9,0,0.0,9.1,6
19970203,10,5.0,89.0,3.5,-5.5,969.2,2.2,-15.9,-9.6,-3.9,6.0,8,0.0,6.0,6
19970204,10,7.3,90.0,4.7,-1.8,966.9,1.4,-4.7,-5.0,0.2,4.6,7,0.0,0.5,6
19970205,10,8.0,93.0,6.5,2.0,960.1,2.8,-5.6,-2.2,3.4,12.1,8,7.2,0.0,6
19970206,10,4.7,87.0,5.2,-0.6,976.6,3.0,-2.8,-1.3,3.0,13.2,0,0.0,3.7,6
19970207,10,3.0,83.0,4.9,-0.2,974.9,1.8,-9.7,-4.9,4.3,4.0,0,0.0,4.2,5
19970208,10,2.0,78.0,5.1,1.2,975.0,1.3,-8.9,-4.1,6.5,3.4,0,0.0,6.5,5
19970209,10,2.3,72.0,5.2,2.4,972.1,1.5,-4.7,-1.1,8.7,3.9,0,0.0,4.8,4
19970210,10,1.0,69.0,4.9,2.7,966.3,1.6,-7.3,-2.6,7.7,3.5,6,0.5,9.0,3
19970211,10,7.7,78.0,6.2,3.2,965.1,3.3,-3.4,-0.1,6.6,16.9,8,7.9,0.0,3
19970212,10,7.7,85.0,8.3,6.8,956.5,6.1,-0.2,0.6,9.0,21.1,6,9.5,0.0,0
19970213,10,6.3,67.0,6.3,5.4,945.8,7.7,1.7,2.4,11.4,36.5,6,0.5,1.3,0
19970214,10,7.0,76.0,5.4,1.8,948.4,6.7,1.1,0.2,5.7,22.6,8,4.0,4.7,0
19970215,10,7.3,94.0,6.3,1.0,955.1,2.9,-0.1,-0.2,3.6,9.7,8,1.2,0.3,4
19970216,10,5.7,88.0,5.6,0.4,967.1,3.8,-1.4,-0.9,3.5,8.3,7,0.0,2.2,1
19970217,10,6.7,82.0,4.9,-0.4,967.6,2.5,-3.5,-2.7,1.8,7.0,7,0.0,2.4,0
19970218,10,7.3,91.0,6.3,2.4,960.8,3.2,-2.7,-1.9,5.2,14.2,8,8.8,0.5,0
19970219,10,6.7,83.0,5.5,1.0,968.9,6.6,-0.1,-0.5,5.0,20.4,7,0.0,3.2,2
19970220,10,5.7,61.0,5.7,5.7,965.5,6.7,-1.2,-0.3,8.2,20.9,6,0.0,6.0,0
19970221,10,7.0,70.0,6.7,6.5,969.0,6.4,2.1,3.7,8.6,15.7,6,0.1,0.5,0
19970222,10,3.3,79.0,8.0,6.5,971.4,3.9,4.5,4.5,11.1,11.4,0,0.0,4.1,0
19970223,10,2.7,78.0,7.1,6.1,962.1,1.9,-0.8,0.1,11.8,4.1,0,0.0,9.5,0
19970224,10,6.3,77.0,7.7,7.1,955.5,1.9,-0.3,1.9,11.3,7.0,6,0.0,4.5,0
19970225,10,8.0,66.0,8.5,11.6,951.8,5.5,2.8,4.0,15.6,22.2,6,2.0,0.9,0
19970226,10,5.3,81.0,8.6,7.2,954.6,6.4,6.3,4.7,14.2,24.2,8,13.5,1.8,0
19970227,10,8.0,91.0,7.0,3.2,971.8,5.2,0.0,0.3,5.4,16.9,6,8.1,0.5,0
19970228,10,4.3,87.0,7.0,3.7,976.7,1.7,0.4,1.2,9.0,6.9,0,0.0,5.5,0
19970301,10,3.3,86.0,7.0,4.0,972.0,2.0,-1.7,-1.3,10.5,4.4,6,0.0,4.2,0
19970302,10,3.0,75.0,8.1,8.8,969.5,1.9,-0.9,0.2,15.9,6.1,0,0.0,10.4,0
19970303,10,7.3,92.0,8.7,5.8,974.5,3.0,3.6,4.9,10.3,8.7,6,5.5,0.0,0
19970304,10,8.0,96.0,7.8,4.1,975.2,2.2,3.2,3.1,5.2,6.5,6,1.7,0.0,0
19970305,10,8.0,97.0,8.5,5.1,969.7,1.5,3.6,3.8,5.9,5.0,6,11.2,0.0,0
19970306,10,8.0,97.0,8.8,5.5,973.3,3.4,4.8,5.0,5.9,11.8,6,2.9,0.0,0
19970307,10,5.0,89.0,8.0,4.8,975.5,2.6,4.5,3.1,9.2,7.5,0,0.0,1.1,0
19970308,10,0.0,61.0,5.2,5.3,976.7,2.6,-2.4,-0.3,11.6,5.6,0,0.0,11.2,0
19970309,10,1.3,59.0,5.6,7.1,977.0,2.5,-1.7,-0.9,14.0,6.9,0,0.0,10.9,0
19970310,10,0.0,70.0,7.3,7.6,977.5,2.2,-1.0,1.1,13.3,5.5,0,0.0,10.5,0
19970311,10,0.0,67.0,7.7,9.5,975.6,1.7,0.3,1.7,15.2,3.8,0,0.0,10.7,0
19970312,10,0.0,56.0,5.9,8.2,972.7,2.4,-0.3,1.4,13.5,5.0,0,0.0,10.9,0
19970313,10,6.7,80.0,8.4,7.7,969.3,3.6,0.7,4.0,9.7,12.9,6,0.0,0.6,0
19970314,10,3.3,75.0,8.2,8.4,963.9,3.4,1.8,5.2,13.3,12.2,6,0.5,8.6,0
19970315,10,7.3,85.0,8.5,7.2,965.6,6.1,4.9,5.3,8.1,15.5,6,5.3,0.0,0
19970316,10,7.7,93.0,10.3,8.7,964.1,8.4,5.8,6.4,9.3,17.7,6,17.2,0.0,0
19970317,10,7.0,85.0,8.1,5.6,964.1,7.5,6.9,3.9,9.2,20.0,6,1.8,0.5,0
19970318,10,6.7,80.0,6.1,2.8,959.0,3.2,0.8,0.6,6.8,6.7,8,4.3,4.7,0
19970319,10,7.0,93.0,7.6,4.0,947.0,5.3,0.2,0.1,6.5,15.9,8,8.3,1.7,0
19970320,10,8.0,93.0,6.1,0.4,956.6,5.3,2.9,-1.1,3.8,12.2,8,2.2,0.0,0
19970321,10,7.7,95.0,5.8,0.2,961.0,3.0,-2.7,-1.9,0.8,8.9,7,4.8,0.0,2
19970322,10,3.3,79.0,5.2,1.0,966.7,4.2,-1.1,-0.6,3.6,10.4,7,0.0,5.0,3
19970323,10,6.3,76.0,4.8,1.1,958.7,2.8,-4.2,-4.6,5.4,8.9,7,0.0,8.2,0
19970324,10,7.7,90.0,6.6,2.5,954.1,2.0,0.5,0.9,4.9,5.5,8,0.1,0.3,0
19970325,10,8.0,94.0,7.4,3.8,958.2,1.9,-0.8,0.6,5.6,4.1,6,2.6,0.0,0
19970326,10,8.0,92.0,7.7,4.4,964.5,2.2,2.2,2.3,7.4,6.5,6,2.4,0.8,0
19970327,10,6.3,90.0,9.6,8.1,961.2,5.7,3.1,3.7,11.1,15.7,6,2.0,2.2,0
19970328,10,5.7,76.0,7.8,6.3,952.1,8.6,5.2,3.1,11.2,23.7,8,5.7,1.3,0
19970329,10,7.3,87.0,6.1,2.0,957.8,7.4,0.2,0.4,5.1,17.9,8,3.8,1.5,0
19970330,10,6.7,79.0,5.8,2.9,965.6,4.8,-0.6,0.5,4.7,11.9,6,0.0,0.8,0
19970331,10,8.0,89.0,8.0,5.7,968.1,3.3,2.5,3.0,7.8,7.1,6,0.1,0.1,0
19970401,10,4.3,74.0,8.5,9.6,964.6,2.0,1.9,4.0,14.0,7.1,0,0.0,7.9,0
19970402,10,2.7,71.0,8.9,10.9,960.9,1.7,4.2,5.5,16.6,5.1,0,0.0,9.1,0
19970403,10,5.0,73.0,9.3,10.8,953.9,3.9,3.1,4.3,16.1,16.6,6,0.3,8.4,0
